WHO_Data_Dump

Location,LocationCode,Year,CategoryId,Category,DatasourceId,DataSource,Measure,MeasureMethod,Numerator,Denominator,Has_Denominator,Target,Has_Target,IsNumeric
"SOUTH SUDAN","SS","1990","29","Total","35","IHME","10485.00","Count (Numeric Integer)","","","false","","false","true",
"SOUTH SUDAN","SS","1991","29","Total","35","IHME","10503.00","Count (Numeric Integer)","","","false","","false","true",
"SOUTH SUDAN","SS","1992","29","Total","35","IHME","10591.00","Count (Numeric Integer)","","","false","","false","true",
"SOUTH SUDAN","SS","1993","29","Total","35","IHME","10621.00","Count (Numeric Integer)","","","false","","false","true",
"SOUTH SUDAN","SS","1994","29","Total","35","IHME","10675.00","Count (Numeric Integer)","","","false","","false","true",
"SOUTH SUDAN","SS","1995","29","Total","35","IHME","10979.00","Count (Numeric Integer)","","","false","","false","true",
"SOUTH SUDAN","SS","1996","29","Total","35","IHME","11008.00","Count (Numeric Integer)","","","false","","false","true",
"SOUTH SUDAN","SS","1997","29","Total","35","IHME","10759.00","Count (Numeric Integer)","","","false","","false","true",
"SOUTH SUDAN","SS","1998","29","Total","35","IHME","10862.00","Count (Numeric Integer)","","","false","","false","true",
"SOUTH SUDAN","SS","1999","29","Total","35","IHME","10941.00","Count (Numeric Integer)","","","false","","false","true",
"SOUTH SUDAN","SS","2000","29","Total","35","IHME","11053.00","Count (Numeric Integer)","","","false","","false","true",
"SOUTH SUDAN","SS","2001","29","Total","35","IHME","10938.00","Count (Numeric Integer)","","","false","","false","true",
"SOUTH SUDAN","SS","2002","29","Total","35","IHME","11042.00","Count (Numeric Integer)","","","false","","false","true",
"SOUTH SUDAN","SS","2003","29","Total","35","IHME","11403.00","Count (Numeric Integer)","","","false","","false","true",
"SOUTH SUDAN","SS","2004","29","Total","35","IHME","11835.00","Count (Numeric Integer)","","","false","","false","true",
"SOUTH SUDAN","SS","2005","29","Total","35","IHME","12260.00","Count (Numeric Integer)","","","false","","false","true",
"SOUTH SUDAN","SS","2006","29","Total","35","IHME","12764.00","Count (Numeric Integer)","","","false","","false","true",
"SOUTH SUDAN","SS","2007","29","Total","35","IHME","13174.00","Count (Numeric Integer)","","","false","","false","true",
"SOUTH SUDAN","SS","2008","29","Total","35","IHME","13481.00","Count (Numeric Integer)","","","false","","false","true",
"SOUTH SUDAN","SS","2009","29","Total","35","IHME","13790.00","Count (Numeric Integer)","","","false","","false","true",
"SOUTH SUDAN","SS","2010","29","Total","35","IHME","14091.00","Count (Numeric Integer)","","","false","","false","true",
"SOUTH SUDAN","SS","2011","29","Total","35","IHME","14419.00","Count (Numeric Integer)","","","false","","false","true",
"SOUTH SUDAN","SS","2012","29","Total","35","IHME","14781.00","Count (Numeric Integer)","","","false","","false","true",
"SOUTH SUDAN","SS","2013","29","Total","35","IHME","15023.00","Count (Numeric Integer)","","","false","","false","true",
"SOUTH SUDAN","SS","2014","29","Total","35","IHME","15101.00","Count (Numeric Integer)","","","false","","false","true",
"SOUTH SUDAN","SS","2015","29","Total","35","IHME","14956.00","Count (Numeric Integer)","","","false","","false","true",
"SOUTH SUDAN","SS","2016","29","Total","35","IHME","14737.00","Count (Numeric Integer)","","","false","","false","true",
"SOUTH SUDAN","SS","2017","29","Total","35","IHME","14871.00","Count (Numeric Integer)","","","false","","false","true",
"SOUTH SUDAN","SS","2018","29","Total","35","IHME","15415.00","Count (Numeric Integer)","","","false","","false","true",
"SOUTH SUDAN","SS","2019","29","Total","35","IHME","15927.00","Count (Numeric Integer)","","","false","","false","true",
