ISO code,Population,Most common site
"AFG","Afghanistan","Breast",
"ALB","Albania","Lung",
"DZA","Algeria","Breast",
"AGO","Angola","Cervixuteri",
"AZE","Azerbaijan","Breast",
"ARG","Argentina","Breast",
"AUS","Australia","Non-melanomaskincancer",
"AUT","Austria","Prostate",
"BHS","Bahamas","Prostate",
"BHR","Bahrain","Breast",
"BGD","Bangladesh","Oesophagus",
"ARM","Armenia","Lung",
"BRB","Barbados","Prostate",
"BEL","Belgium","Breast",
"BTN","Bhutan","Stomach",
"BOL","Bolivia,PlurinationalStateof","Cervixuteri",
"BIH","BosniaandHerzegovina","Lung",
"BWA","Botswana","Cervixuteri",
"BRA","Brazil","Prostate",
"BLZ","Belize","Breast",
"SLB","SolomonIslands","Breast",
"BRN","BruneiDarussalam","Colorectum",
"BGR","Bulgaria","Prostate",
"MMR","Myanmar","Lung",
"BDI","Burundi","Cervixuteri",
"BLR","Belarus","Colorectum",
"KHM","Cambodia","Liver",
"CMR","Cameroon","Breast",
"CAN","Canada","Non-melanomaskincancer",
"CPV","CaboVerde","Stomach",
"CAF","CentralAfricanRepublic","Breast",
"LKA","SriLanka","Breast",
"TCD","Chad","Breast",
"CHL","Chile","Prostate",
"CHN","China","Lung",
"COL","Colombia","Breast",
"COM","Comoros","Cervixuteri",
"COG","Congo,Republicof","Breast",
"COD","Congo,DemocraticRepublicof","Cervixuteri",
"CRI","CostaRica","Prostate",
"HRV","Croatia","Colorectum",
"CUB","Cuba","Lung",
"CYP","Cyprus","Prostate",
"CZE","Czechia","Prostate",
"BEN","Benin","Breast",
"DNK","Denmark","Colorectum",
"DOM","DominicanRepublic","Prostate",
"ECU","Ecuador","Breast",
"SLV","ElSalvador","Breast",
"GNQ","EquatorialGuinea","Breast",
"ETH","Ethiopia","Breast",
"ERI","Eritrea","Breast",
"EST","Estonia","Prostate",
"FJI","Fiji","Breast",
"FIN","Finland","Prostate",
"FRA","France","Prostate",
"GUF","FrenchGuiana","Prostate",
"PYF","FrenchPolynesia","Lung",
